,CO2,GDP
22,69.19820808416783,58.9259033203125
46,47.0652675392469,87.104443359375
70,5.34265215247627,47.2796630859375
94,109.41375465669125,186.25283203125
118,102.93262287765121,40.4825
142,102.93262287765121,414.9963671875
166,408.33040568218104,382.1744921875
190,458.4294255559271,464.69859375
214,175.37529534930914,39.985205078125
238,308.72783572041834,405.659296875
262,267.01396246382194,494.0629296875
286,2.41885063724582,19.37729248046875
310,100.66240346547836,151.244365234375
334,387.7708437817319,80.53173828125
358,886.2193589872279,430.24140625
382,21.933081979510057,65.993203125
406,1.640349965370725,24.7821826171875
430,4.498454224204587,40.614990234375
454,16.69597426724727,54.1552587890625
478,18.27475538874712,106.29947265625
502,34.65212748529124,116.009482421875
526,424.04139810464625,105.036201171875
550,0.7382462160447834,12.967479248046875
574,0.48001090183261264,8.2800048828125
595,1.6698777934572617,14.816568603515625
619,3.54948045706366,28.5800830078125
636,576.792143105248,371.9439453125
660,6.268440138987,40.654794921875
684,1.185400484375381,10.401038818359375
708,0.518693935079301,8.973470458984375
732,74.44872321001311,156.380009765625
756,52.5174962641526,34.5167919921875
780,36.829611811106076,90.426630859375
804,2.1806031258141387,28.33591064453125
828,2.1806031258141387,43.998427734375
852,20.511376461180248,126.240703125
871,165.900680535079,183.6210546875
895,113.4089667659618,329.43109375
919,540.378760140021,489.0701171875
944,23.77617993593357,96.11533203125
968,27.825696215123564,93.221396484375
992,29.040721071051607,81.7634423828125
1016,21.81955142432835,77.4471533203125
1040,16.484989722858057,65.7715380859375
1064,2.443530032694333,111.765185546875
1083,973.3963721153309,177.6520703125
1107,0.6301831244441357,7.277666625976562
1131,28.324133168990908,95.758603515625
1155,375.40960556748234,398.941953125
1179,486.31078995797213,397.3228125
1203,68.70902665224496,165.6724609375
1227,2.035110229446355,22.70486572265625
1251,137.70181752143543,49.1923193359375
1275,914.1994962974801,429.281796875
1299,4.199071510314743,28.07361572265625
1323,215.0651364361056,291.3396484375
1347,25.412394968032014,116.134150390625
1371,9.727398504856671,64.9988330078125
1395,2.798889788482728,17.049564208984375
1419,75.78305631326309,77.7629833984375
1443,2.6154582185440547,29.4372119140625
1467,8.552829233786325,41.0877490234375
1491,104.79398039622826,363.1712109375
1514,396.95265040470304,194.150234375
1533,226.24658419572054,415.30515625
1557,13.364438644366013,25.78591552734375
1581,18.958239473384193,56.8926025390625
1605,85.00541832762906,100.66802734375
1629,42.04245408172874,92.024873046875
1653,275.80991911583044,479.9698046875
1672,124.52020328138815,299.50318359375
1696,276.96699652156525,430.5393359375
1720,96.15762241823428,93.445341796875
1744,330.8498123204321,363.2309375
1768,23.19970992043236,87.417275390625
1792,467.92788379501843,102.7576171875
1816,4.097175406289025,31.88999755859375
1840,7.370885149963423,21.8368115234375
1859,292.65913649808743,549.84953125
1883,106.0149797387063,30.789091796875
1907,2.027985483715664,28.61271728515625
1926,430.6577771821916,129.922041015625
1950,57.078117739295074,143.61861328125
1974,8.061093968536207,16.853670654296874
1988,6.794823222441629,17.5347509765625
2003,157.5273777398988,167.462734375
2022,466.6142404424639,138.4668359375
2046,843.9351666694977,993.015234375
2070,1.5482800826726884,16.14382568359375
2094,1.394372358929783,11.2719580078125
2118,54.158364694484135,159.170576171875
2142,0.7150608203477181,16.277322998046873
2166,108.26653427991734,274.82888671875
2190,6.670168464227929,42.7363525390625
2214,30.589984062721005,118.905888671875
2238,85.47631133502543,177.5656640625
2257,391.948370239377,50.74376953125
2281,73.16738662051115,45.2350634765625
2298,97.41850667057896,124.189873046875
2322,18.393593075289637,43.705625
2346,2.913603680830275,6.307015991210937
2370,5.984838403560248,68.0486669921875
2394,1.1130657485797566,20.77652099609375
2418,477.32079899275874,474.22203125
2442,225.89350909727676,328.3709765625
2466,11.971914653059297,39.6882861328125
2490,0.7635568743058649,9.326770629882812
2514,7.929015512186324,29.7704150390625
2538,321.7907540944873,571.273828125
2562,65.11368359315762,386.4987890625
2586,7.899631375592621,32.4537841796875
2600,344.5844364441983,137.35748046875
2624,29.58434743514977,145.07794921875
2648,6.3496546602016695,28.71416259765625
2672,10.293005310331727,85.302080078125
2696,31.580476245410075,64.2248046875
2720,12.961529161261671,44.537568359375
2744,536.7781572162281,162.576455078125
2768,144.540679095675,303.83138671875
2792,0.06421336567040964,301.24701171875
2806,220.61956861322048,865.663046875
2830,343.77218952263075,121.095439453125
2854,575.780147492165,145.699365234375
2878,1.019470122666549,8.676151733398438
2902,30.231661820223845,129.897421875
2926,13.032637533613332,48.127734375
2950,162.85622978168476,419.5520703125
2974,5.621342227843596,25.95109375
2993,243.81973989682007,89.0059765625
3017,42.961817808398216,189.92818359375
3041,2.547342592448416,10.577396240234375
3065,195.19792244877536,561.0673046875
3087,550.5444560271876,156.665419921875
3106,254.11595051333967,262.769453125
3130,6.136404366861667,22.5361083984375
3155,202.8387359577693,110.338564453125
3179,132.41700801357732,229.63638671875
3203,186.89700500203642,347.5761328125
3227,8.619018206320836,59.4997021484375
3251,3.272405244470925,39.1251708984375
3275,116.01024205553038,130.682060546875
3299,380.5449162872356,406.2536328125
3323,250.4267516674157,593.8942578125
3347,40.69627693228038,13.24909912109375
3371,1.3667826869406259,14.094539794921875
3395,33.691189648999405,98.096220703125
3419,3.0995780283632657,17.0044140625
3443,18.447210316494786,50.344150390625
3467,31.696313574887643,78.1943017578125
3491,50.4704061310756,154.335869140625
3515,195.0950600005909,46.2207861328125
3539,0.7842405388322459,12.609844970703126
3563,628.369572023029,74.9681298828125
3587,165.61597569527967,1024.947109375
3611,1014.2505541784868,389.1519921875
3635,898.637643752943,501.24890625
3659,70.7044502239983,144.827548828125
3683,116.12216860675393,29.67601806640625
3707,11.049649832967459,29.5498291015625
3731,8.469652094961079,19.908590087890627
3755,35.275695769079164,43.533681640625
